qID,th3_biggest_tfidf
139,"{'gain': 6.986200717432883, 'germany': 6.986200717432883, 'lost': 7.6793478979928285, 'privacy': 17.191277259733965}"
141,"{'?': 1.0007542426504639, 'immunity': 8.190173521758819, 'types': 7.3428756613716155}"
143,"{'disorder': 7.902491449307038, 'narcissistic': 8.190173521758819, 'personality': 8.190173521758819}"
145,"{'english': 5.625224164297282, 'fluently': 7.6793478979928285, 'speak': 6.986200717432883}"
147,"{'corrupted': 8.595638629866983, 'data': 13.032394176374295, 'helpful': 8.595638629866983}"
149,"{'gambler': 8.190173521758819, 'reach': 7.6793478979928285, 'richest': 8.190173521758819}"
151,"{'backward': 8.595638629866983, 'backwards': 8.595638629866983, 'bullet': 24.570520565276457, 'going': 12.395486714137226}"
153,"{'breast': 8.190173521758819, 'cancer': 7.902491449307038, 'prevent': 7.497026341198874}"
155,"{""friend's"": 8.595638629866983, 'gmail': 6.986200717432883, 'log': 8.190173521758819}"
157,"{'internet': 6.455572466370713, 'make': 4.971297696890618, 'money': 5.417584799519037}"
159,"{'?': 1.0007542426504639, 'life': 4.89433665575449, 'purpose': 6.723836452965392}"
161,"{'burma': 8.595638629866983, 'citizenship': 8.595638629866983, ""rohingya's"": 8.595638629866983, 'strip': 8.595638629866983}"
163,"{'etiquette': 8.190173521758819, 'jehovah': 8.595638629866983, 'wishing': 8.190173521758819, 'witness': 8.595638629866983}"
165,"{'commercial': 7.902491449307038, 'fm': 7.902491449307038, 'station': 8.190173521758819}"
167,"{'asians': 8.595638629866983, 'despise': 8.190173521758819, 'swiss': 8.595638629866983}"
169,"{'biotechnology': 7.6793478979928285, 'field': 6.890890537628558, 'income': 7.3428756613716155}"
171,"{'21': 8.595638629866983, 'height': 7.209344268747093, 'increase': 6.344346831260488}"
173,"{'1952': 8.595638629866983, 'earthquakes': 8.595638629866983, 'effects': 14.183122466181418, 'kamchatca': 8.595638629866983}"
175,"{'difference': 5.114398540531291, 'fairness': 8.595638629866983, 'sincerity': 8.595638629866983}"
177,"{'60k': 8.595638629866983, 'gaming': 7.6793478979928285, 'inr': 7.497026341198874}"
179,"{'grounds': 8.190173521758819, 'proving': 7.902491449307038, 'warrior': 8.190173521758819}"
181,"{'11th': 8.190173521758819, 'physics': 7.091561233090709, 'reference': 8.190173521758819}"
183,"{'kurukshetra': 8.595638629866983, 'nitk': 8.190173521758819, 'surathkal': 8.190173521758819}"
185,"{'english': 5.625224164297282, 'movies': 5.887588428764773, 'romantic': 7.6793478979928285}"
187,"{'?': 1.0007542426504639, 'causes': 6.455572466370713, 'nightmare': 8.595638629866983}"
189,"{'abstract': 8.190173521758819, 'expressionism': 8.190173521758819, 'painting': 7.902491449307038}"
191,"{'3d': 7.3428756613716155, 'printing': 7.497026341198874, 'work': 5.396965512316302}"
193,"{'attend': 8.190173521758819, 'caltech': 8.190173521758819, 'ehrhardt': 8.595638629866983, 'jeremy': 8.595638629866983}"
195,"{'did': 4.703818331756357, 'harry': 7.6793478979928285, 'horcrux': 8.190173521758819}"
197,"{'apm': 8.595638629866983, 'associate': 8.595638629866983, 'product': 13.972401434865766, 'rewarding': 8.595638629866983}"
199,"{'1-855-425-3768': 8.595638629866983, 'busy': 8.595638629866983, 'skype': 8.190173521758819}"
201,"{'attack': 7.902491449307038, 'effects': 7.091561233090709, 'uri': 7.902491449307038}"
203,"{'mannerism': 8.595638629866983, 'reagan': 8.190173521758819, 'ronald': 8.190173521758819, 'speech': 8.595638629866983}"
205,"{'confederates': 8.190173521758819, 'strategies': 8.595638629866983, 'war': 11.250448328594564}"
207,"{'2016': 5.527585694733366, 'fiction': 8.190173521758819, 'novel': 7.6793478979928285}"
209,"{'email': 6.455572466370713, 'forgot': 7.497026341198874, 'recover': 6.64972848081167}"
211,"{'demonetisation': 8.190173521758819, 'recent': 7.6793478979928285, 'results': 7.6793478979928285}"
213,"{'hacking': 7.902491449307038, 'heard': 6.803879160638928, 'travel': 6.153291594497779}"
215,"{'difference': 5.114398540531291, 'love': 5.792278248960448, 'pity': 8.190173521758819}"
217,"{'competitive': 7.902491449307038, 'hiring': 7.902491449307038, 'republic': 8.595638629866983}"
219,"{'adjustment': 8.595638629866983, 'helps': 8.595638629866983, 'spam': 8.595638629866983}"
221,"{'gonulcelen': 8.595638629866983, 'subtitles': 8.190173521758819, 'watch': 6.293053536872938}"
223,"{'country': 5.956581300251725, 'powerful': 7.209344268747093, 'usa': 6.293053536872938}"
225,"{'instant': 8.595638629866983, 'obtain': 8.595638629866983, 'relief': 8.595638629866983, 'ulcer': 8.595638629866983}"
227,"{'china': 6.64972848081167, 'food': 6.64972848081167, 'think': 5.245734542592379}"
229,"{'advantage': 7.6793478979928285, 'mean': 5.527585694733366, 'taking': 7.091561233090709}"
231,"{'?': 1.0007542426504639, 'happy': 6.986200717432883, 'sad': 7.902491449307038}"
233,"{'pictures': 7.209344268747093, 'stick': 8.595638629866983, 'tongues': 8.595638629866983}"
235,"{'""': 9.555852607820157, '1984': 8.190173521758819, 'depressing': 8.595638629866983}"
237,"{'exist': 6.723836452965392, 'mind-blowing': 7.902491449307038, 'tools': 7.6793478979928285}"
239,"{'dry': 8.595638629866983, 'toothbrush': 8.595638629866983, 'toothpaste': 8.190173521758819, 'wet': 8.190173521758819}"
241,"{'imrovement': 8.595638629866983, 'marked': 7.209344268747093, 'needing': 7.209344268747093}"
243,"{'buffer': 8.595638629866983, 'neutral': 8.595638629866983, 'state': 12.688693662520976}"
245,"{'highest': 7.902491449307038, 'holds': 8.190173521758819, 'mineral': 7.902491449307038}"
247,"{'greatest': 7.209344268747093, 'mystery': 7.6793478979928285, 'universe': 6.64972848081167}"
249,"{'alternative': 7.902491449307038, 'learning': 6.197743357068613, 'machine': 6.890890537628558}"
251,"{'jaish-e-mohammad': 8.595638629866983, 'jem': 8.595638629866983, 'sanctions': 8.595638629866983}"
253,"{'budget': 6.986200717432883, 'future': 6.344346831260488, 'mean': 5.527585694733366}"
255,"{'amounts': 8.595638629866983, 'excessive': 8.595638629866983, 'miscarriage': 8.190173521758819, 'vitamin': 8.190173521758819}"
257,"{'asahi': 8.190173521758819, 'glass': 7.6793478979928285, 'scale': 7.6793478979928285}"
259,"{'access': 6.64972848081167, 'india': 4.376130924690877, 'torbox': 8.595638629866983}"
261,"{'?': 1.0007542426504639, 'mantras': 8.190173521758819, 'yakshini': 8.595638629866983}"
263,"{'party': 7.497026341198874, 'successful': 7.091561233090709, 'talks': 8.595638629866983}"
265,"{'domain': 7.902491449307038, 'register': 7.091561233090709, 'site': 6.986200717432883}"
267,"{'attracted': 7.6793478979928285, 'older': 8.190173521758819, 'young': 7.497026341198874}"
269,"{'compression': 8.595638629866983, 'shape': 7.902491449307038, 'strongest': 14.418688537494186}"
271,"{'?': 1.0007542426504639, 'muslims': 7.091561233090709, 'rohingya': 8.190173521758819}"
273,"{'evil': 8.190173521758819, 'humans': 6.803879160638928, 'matter': 6.803879160638928, 'selfish': 8.595638629866983}"
275,"{'active': 8.190173521758819, 'endocytosis': 8.595638629866983, 'exocytosis': 8.595638629866983, 'passive': 8.190173521758819, 'transport': 8.190173521758819}"
277,"{'bald': 7.902491449307038, 'hair': 6.803879160638928, 'head': 7.209344268747093}"
279,"{'ideal': 7.902491449307038, 'life': 4.89433665575449, 'retirement': 8.190173521758819}"
281,"{'?': 1.0007542426504639, 'pakistan': 6.2442633727035055, 'stance': 8.190173521758819}"
283,"{'escorts': 8.595638629866983, 'good': 4.526611875629173, 'websites': 7.091561233090709}"
285,"{'grand': 8.595638629866983, 'i10': 8.595638629866983, 'polo': 8.190173521758819}"
287,"{'black': 5.9929489444226, 'hole': 7.497026341198874, 'mass': 7.209344268747093}"
289,"{'freeman': 8.190173521758819, 'morgan': 8.190173521758819, 'racism': 8.190173521758819, 'stop': 11.250448328594564}"
291,"{'currently': 7.497026341198874, 'fab': 8.595638629866983, 'rsus': 8.190173521758819}"
293,"{'review': 6.455572466370713, 'site': 6.986200717432883, 'waveclues': 8.595638629866983}"
295,"{'distribute': 8.595638629866983, 'identical': 8.595638629866983, 'pencil': 8.595638629866983, 'pencils': 8.595638629866983}"
297,"{'1-2': 8.190173521758819, 'jerry': 8.595638629866983, 'seinfeld': 8.595638629866983}"
299,"{'exposure': 8.190173521758819, 'non-bite': 8.595638629866983, 'rabies': 7.902491449307038, 'vaccine': 7.902491449307038}"
301,"{'britain': 7.6793478979928285, 'ruled': 8.595638629866983, 'years': 5.921489980440454}"
303,"{'afraid': 7.209344268747093, 'stop': 5.625224164297282, 'working': 6.293053536872938}"
305,"{'keys': 8.190173521758819, 'oitnb': 8.595638629866983, 'red': 7.209344268747093}"
307,"{'age': 6.64972848081167, 'lose': 6.293053536872938, 'virginity': 8.190173521758819}"
309,"{'?': 1.0007542426504639, 'forgetful': 8.595638629866983}"
311,"{'maul': 8.190173521758819, 'secretly': 8.190173521758819, 'snoke': 8.190173521758819}"
313,"{'monetize': 8.190173521758819, 'upload': 7.902491449307038, 'videos': 8.190173521758819}"
315,"{'109': 8.595638629866983, 'd-lux': 8.595638629866983, 'leica': 8.595638629866983}"
317,"{'members': 7.6793478979928285, 'moderation': 8.190173521758819, 'quora': 9.71593802316723}"
319,"{'answer': 6.803879160638928, 'questions': 5.792278248960448, 'quora': 4.857969011583615}"
321,"{'funniest': 7.497026341198874, 'joke': 7.3428756613716155, 'know': 5.356960177702603}"
323,"{'3764': 8.595638629866983, 'chelmsford-essex': 8.595638629866983, 'expenses': 8.595638629866983, 'monthly': 8.595638629866983, 'pay-after': 8.595638629866983, 'pls': 8.595638629866983, 'saving': 8.595638629866983, 'tentative': 8.595638629866983, '£': 8.595638629866983}"
325,"{'kingdom': 7.902491449307038, 'stereotypes': 8.595638629866983, 'united': 6.803879160638928}"
327,"{'business': 6.293053536872938, 'source': 6.986200717432883, 'twitter': 7.6793478979928285}"
329,"{'paypal': 8.190173521758819, 'skrill': 8.190173521758819, 'transfer': 7.6793478979928285}"
331,"{'bass': 7.902491449307038, 'deep': 7.6793478979928285, 'earphone': 8.595638629866983}"
333,"{'samrudi': 8.595638629866983, 'sukanya': 8.595638629866983, 'yojana': 8.595638629866983}"
335,"{""'"": 23.41919442376713, 'forward': 15.358695795985657, 'speak': 13.972401434865766}"
337,"{'best': 3.462785703046478, 'engineering': 5.921489980440454, 'fields': 8.595638629866983}"
339,"{'abusing': 8.595638629866983, 'life': 9.78867331150898, 'suit': 8.595638629866983}"
341,"{'ctc': 8.595638629866983, 'gross': 7.209344268747093, 'salary': 6.293053536872938}"
343,"{'kerala': 6.803879160638928, 'prospering': 8.595638629866983, 'towns': 8.595638629866983}"
345,"{'confidence': 8.190173521758819, 'gain': 6.986200717432883, 'way': 5.04029056837757}"
347,"{'gods': 14.994052682397747, 'greek': 7.902491449307038, 'relation': 7.902491449307038}"
349,"{'apple': 7.497026341198874, 'spotify': 7.091561233090709, 'switch': 7.3428756613716155}"
351,"{'fixed': 7.902491449307038, 'fund': 7.497026341198874, 'income': 7.3428756613716155}"
353,"{'cologne': 8.595638629866983, 'like': 4.509662317315399, 'live': 5.9929489444226}"
355,"{'niro': 8.190173521758819, 'pacino': 8.190173521758819, 'robert': 8.190173521758819}"
357,"{'families': 8.190173521758819, 'prefer': 7.3428756613716155, 'small': 6.803879160638928}"
359,"{'?': 1.0007542426504639, 'animals': 7.3428756613716155, 'kiss': 8.190173521758819}"
361,"{'chats': 8.595638629866983, 'deleted': 7.497026341198874, 'instagram': 6.2442633727035055}"
363,"{'addicted': 7.3428756613716155, 'love': 5.792278248960448, 'stop': 5.625224164297282}"
365,"{'eyes': 7.497026341198874, 'hired': 8.595638629866983, 'ordered': 7.902491449307038}"
367,"{'?': 1.0007542426504639, 'accelerator': 8.595638629866983, 'startup': 7.091561233090709}"
369,"{'check': 8.595638629866983, 'phones': 7.3428756613716155, 'wifi': 7.209344268747093}"
371,"{'battle': 23.707474347921114, 'rostov': 8.595638629866983, 'somme': 8.190173521758819}"
373,"{'admissions': 8.190173521758819, 'creative': 7.497026341198874, 'essay': 7.3428756613716155}"
375,"{'cover': 7.6793478979928285, 'eyes': 7.497026341198874, 'patch': 17.191277259733965}"
377,"{'different': 5.762425285810767, 'pursue': 7.6793478979928285, 'things': 5.956581300251725}"
379,"{'affleck': 8.190173521758819, 'bale': 8.190173521758819, 'ben': 8.190173521758819, 'shine': 8.595638629866983}"
381,"{'business': 6.293053536872938, 'hyderabad': 6.986200717432883, 'start': 5.211248366521209}"
383,"{'?': 1.0007542426504639, 'possessive': 8.190173521758819, 'stop': 5.625224164297282}"
385,"{'krishna': 8.190173521758819, 'lord': 8.190173521758819, 'wife': 7.497026341198874}"
387,"{'ca': 6.803879160638928, 'combination': 8.595638629866983, 'enhance': 8.595638629866983}"
389,"{'laptop': 6.398414052530764, 'mac': 8.190173521758819, 'screenshot': 7.6793478979928285}"
391,"{'executive': 7.902491449307038, 'recruiter': 8.190173521758819, 'work': 5.396965512316302}"
393,"{""'"": 11.709597211883565, 'collecting': 8.595638629866983, 'psychological': 8.595638629866983}"
395,"{'die': 6.723836452965392, 'shows': 7.3428756613716155, 'tv': 6.803879160638928}"
397,"{'?': 1.0007542426504639, 'chinese': 6.64972848081167, 'fluent': 7.6793478979928285}"
399,"{'demonitization': 8.595638629866983, 'rupees': 7.209344268747093, 'sector': 8.190173521758819}"
401,"{'$': 6.64972848081167, 'billionaire': 7.497026341198874, 'easiest': 7.497026341198874}"
403,"{'conduct': 8.595638629866983, 'free': 11.91316260050345, 'workshop': 8.595638629866983}"
405,"{'learning': 6.197743357068613, 'robotics': 7.902491449307038, 'start': 5.211248366521209}"
407,"{'clinton': 6.455572466370713, 'hate': 6.344346831260488, 'hillary': 6.2442633727035055}"
409,"{""'"": 11.709597211883565, 'actived': 8.595638629866983, 'hinduism': 8.595638629866983, 'periods': 8.595638629866983, 'prevented': 8.595638629866983, 'rituals': 8.595638629866983, 'unclean': 8.595638629866983}"
411,"{'atheism': 8.190173521758819, 'belief': 16.380347043517638, 'lack': 8.190173521758819}"
413,"{'dorsey': 8.190173521758819, 'jack': 7.902491449307038, 'like': 4.509662317315399}"
415,"{""assassin's"": 7.902491449307038, 'creed': 7.902491449307038, 'quotes': 8.190173521758819}"
417,"{'documents': 8.595638629866983, 'ink': 8.190173521758819, 'inkjet': 8.595638629866983, 'printers': 8.190173521758819}"
419,"{'?': 1.0007542426504639, 'creativity': 7.6793478979928285, 'important': 6.110731980078983}"
421,"{'candidate': 7.902491449307038, 'continue': 7.902491449307038, 'democratic': 8.190173521758819}"
423,"{'antenna': 16.380347043517638, 'fm': 15.804982898614076, 'headphones': 15.358695795985657}"
425,"{'apart': 8.190173521758819, 'automation': 17.191277259733965, 'technologies': 7.902491449307038}"
427,"{'disadvantages': 7.6793478979928285, 'listing': 8.190173521758819, 'nse': 8.190173521758819}"
429,"{'continuous': 8.595638629866983, 'derivatives': 8.595638629866983, ""object's"": 8.595638629866983}"
431,"{'?': 1.0007542426504639, 'neutron': 8.190173521758819, 'star': 7.091561233090709}"
433,"{'3.8': 8.190173521758819, 'gpa': 7.209344268747093, 'harvard': 7.3428756613716155}"
435,"{'binary': 7.497026341198874, 'profitable': 8.595638629866983, 'trade': 7.902491449307038}"
437,"{'avoid': 6.890890537628558, 'depression': 8.190173521758819, 'utilize': 8.595638629866983}"
439,"{'computer': 5.956581300251725, 'learn': 4.932076983737337, 'security': 6.803879160638928}"
441,"{'?': 1.0007542426504639, 'earn': 6.398414052530764, 'quora': 4.857969011583615}"
443,"{'?': 1.0007542426504639, 'code': 7.209344268747093, 'puk': 8.190173521758819}"
445,"{'?': 1.0007542426504639, 'japan': 7.3428756613716155, 'job': 5.5045961765086675}"
447,"{'""': 9.555852607820157, 'hysteria': 8.595638629866983, 'sentences': 7.497026341198874}"
449,"{'billion': 8.190173521758819, 'dollar': 8.190173521758819, 'jackpot': 8.190173521758819}"
451,"{'hana': 8.190173521758819, 'scary': 8.595638629866983, 'turns': 8.595638629866983}"
453,"{'linux': 8.190173521758819, 'new': 10.456685599761018, 'shell': 8.190173521758819, 'terminal': 16.380347043517638}"
455,"{'affect': 6.110731980078983, 'cognition': 8.595638629866983, 'perception': 7.902491449307038}"
457,"{'ckwl': 8.595638629866983, 'tatkal': 7.902491449307038, 'tqwl': 8.190173521758819, 'waiting': 7.902491449307038}"
459,"{'future': 6.344346831260488, 'generations': 8.595638629866983, 'place': 6.153291594497779}"
461,"{'champions': 8.190173521758819, 'league': 7.6793478979928285, 'legends': 7.902491449307038}"
463,"{'drinking': 7.902491449307038, 'liters': 8.190173521758819, 'unhealthy': 7.902491449307038}"
465,"{'lake': 7.902491449307038, 'lakes': 16.380347043517638, 'prespa': 8.595638629866983, 'wildlife': 7.902491449307038}"
467,"{'porn': 13.607758321277856, 'stars': 8.190173521758819, 'watch': 6.293053536872938}"
469,"{""he's"": 8.190173521758819, 'promises': 7.3428756613716155, 'walking': 7.497026341198874}"
471,"{""'"": 5.854798605941783, 'opinions': 7.902491449307038, 'worried': 7.902491449307038}"
473,"{'pitbull': 8.190173521758819, 'potty': 8.190173521758819, 'train': 7.3428756613716155}"
475,"{'jump': 8.190173521758819, 'minutes': 7.497026341198874, 'rope': 8.190173521758819}"
477,"{'2017': 6.723836452965392, 'cs': 7.6793478979928285, 'stream': 7.902491449307038}"
479,"{'algorithmic': 8.595638629866983, 'material': 8.595638629866983, 'newbie': 8.190173521758819}"
481,"{'bullmastiff': 8.595638629866983, 'husky': 8.190173521758819, 'temperament': 8.190173521758819}"
483,"{'.': 11.685474792223701, 'lighter': 8.595638629866983, 'weighs': 8.595638629866983}"
485,"{'""': 9.555852607820157, 'ad': 8.595638629866983, 'argue': 8.190173521758819, 'beneatha': 8.190173521758819, 'raisin': 8.190173521758819, 'walter': 8.190173521758819}"
487,"{'dumb': 8.595638629866983, 'signs': 7.6793478979928285, 'smart': 7.6793478979928285, 'ultra': 8.190173521758819}"
489,"{'created': 13.781781075257117, 'dark': 7.209344268747093, 'expansion': 8.190173521758819}"
491,"{'?': 1.0007542426504639, 'book': 5.823049907627202, 'published': 8.595638629866983}"
493,"{'?': 1.0007542426504639, 'bloomberg': 8.190173521758819, 'disrupting': 8.595638629866983}"
495,"{'fast': 6.803879160638928, 'flash': 8.190173521758819, 'run': 6.516197088187147}"
497,"{'legally': 8.595638629866983, 'profits': 8.595638629866983, 'tangible': 8.595638629866983}"
499,"{'gst': 7.6793478979928285, 'implementation': 8.190173521758819, 'lives': 7.902491449307038}"
501,"{'gmail': 6.986200717432883, 'password': 6.197743357068613, 'recover': 6.64972848081167}"
503,"{'accurately': 7.902491449307038, 'diagnosed': 8.595638629866983, 'illness': 8.190173521758819, 'mental': 7.902491449307038}"
505,"{'20': 7.6793478979928285, 'knee': 8.595638629866983, 'pain': 7.3428756613716155}"
507,"{'good': 4.526611875629173, 'leader': 8.190173521758819, 'qualities': 7.902491449307038}"
509,"{'bay': 7.902491449307038, 'gulf': 8.595638629866983, 'straits': 8.595638629866983}"
511,"{'2019': 8.190173521758819, 'modi': 6.2442633727035055, 'win': 5.9929489444226}"
513,"{'dmart': 8.595638629866983, 'franchise': 8.190173521758819, 'store': 7.3428756613716155}"
515,"{'channels': 7.3428756613716155, 'medicine': 7.3428756613716155, 'youtube': 6.5807356093247185}"
517,"{'journey': 8.595638629866983, 'swami': 8.595638629866983, 'vivekananda': 8.595638629866983}"
519,"{'charting': 8.595638629866983, 'tickets': 8.190173521758819, 'tqwl': 8.190173521758819}"
521,"{'""': 9.555852607820157, 'initiative': 7.902491449307038, 'standards': 7.902491449307038}"
523,"{'journal': 8.595638629866983, 'paper': 7.902491449307038, 'publish': 7.497026341198874}"
525,"{'2017': 6.723836452965392, 'resolutions': 8.595638629866983, ""year's"": 8.190173521758819}"
527,"{'?': 1.0007542426504639, 'bad': 6.398414052530764, 'dream': 6.803879160638928}"
530,"{'151': 8.595638629866983, 'aiims': 8.190173521758819, 'rank': 7.091561233090709}"
532,"{'broken': 8.190173521758819, 'disagree': 8.190173521758819, 'surgeons': 8.190173521758819, 'surgical': 8.595638629866983, 'tie': 8.595638629866983}"
534,"{'developing': 7.497026341198874, 'knowledge': 7.6793478979928285, 'scratch': 7.209344268747093}"
536,"{'body': 6.890890537628558, 'guy': 6.197743357068613, 'love': 5.792278248960448}"
538,"{'?': 1.0007542426504639, 'prisoner': 8.595638629866983, 'rights': 7.3428756613716155}"
540,"{'clans': 8.190173521758819, 'clash': 8.190173521758819, 'gems': 8.190173521758819}"
542,"{'apps': 6.890890537628558, ""aren't"": 7.902491449307038, 'lens': 8.190173521758819}"
544,"{'.': 11.685474792223701, 'ex-girlfriend': 8.595638629866983, 'malaria': 8.595638629866983, 'suffering': 8.595638629866983, 'urge': 8.595638629866983}"
546,"{'traffic': 7.091561233090709, 'way': 5.04029056837757, 'website': 6.293053536872938}"
